name,url,description
Automata Fix,https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/,SHL assessment for evaluating job-related skills
Core Java Entry Level,https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/,SHL assessment for Java programming skills assessment
Java 8,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,SHL assessment for Java programming skills assessment
Core Java Advanced Level,https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/,SHL assessment for Java programming skills assessment
Interpersonal Communications,https://www.shl.com/products/product-catalog/view/interpersonal-communications/,SHL assessment for Communication skills test
Entry Level Sales 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,SHL assessment for Sales skills and aptitude assessment
Entry Level Sales Sift Out 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,SHL assessment for Sales skills and aptitude assessment
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,SHL assessment for Sales skills and aptitude assessment
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,SHL assessment for Sales skills and aptitude assessment
Business Communication Adaptive,https://www.shl.com/products/product-catalog/view/business-communication-adaptive/,SHL assessment for Communication skills test
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,"SHL assessment for Sales skills and aptitude assessment, Technical skills assessment"
Svar Spoken English Indian Accent,https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,SHL assessment for evaluating job-related skills
English Comprehension,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,SHL assessment for evaluating job-related skills
Enterprise Leadership Report,https://www.shl.com/products/product-catalog/view/enterprise-leadership-report/,SHL assessment for Leadership skills evaluation
Occupational Personality Questionnaire Opq32R,https://www.shl.com/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,SHL assessment for Personality assessment
